"Genotype","Environment","Rep","Yield"
"G1","E1",1,6.21976217672389
"G1","E1",2,6.38491125525836
"G1","E1",3,7.27935415707456
"G1","E2",1,6.53525419571229
"G1","E2",2,6.56464386758047
"G1","E2",3,7.35753249344164
"G1","E3",1,6.7304581029946
"G1","E3",2,5.86746938269673
"G1","E3",3,6.15657357405324
"G1","E4",1,6.27716901495002
"G1","E4",2,7.11204089871973
"G1","E4",3,6.67990691352868
"G1","E5",1,6.70038572529703
"G1","E5",2,6.55534135797256
"G1","E5",3,6.22207943262296
"G2","E1",1,8.21476525472123
"G2","E1",2,7.6991401912917
"G2","E1",3,6.71335313734814
"G2","E2",1,7.78054236062547
"G2","E2",2,7.31088343690883
"G2","E2",3,7.07287051760526
"G2","E3",1,7.41281003413668
"G2","E3",2,7.0895982206771
"G2","E3",3,7.20844350828354
"G2","E4",1,7.2499842928603
"G2","E4",2,6.82532267570303
"G2","E4",3,7.83511481779781
"G2","E5",1,7.56134924713461
"G2","E5",2,7.04474522519522
"G2","E5",3,8.00152596842797
"G3","E1",1,6.01323211073841
"G3","E1",2,5.65246425850386
"G3","E1",3,6.24756283052251
"G3","E2",1,6.23906674376652
"G3","E2",2,6.21079054081874
"G3","E2",3,6.14432012705005
"G3","E3",1,6.07695882676879
"G3","E3",2,5.76904414471164
"G3","E3",3,5.64701866813004
"G3","E4",1,5.60976449949381
"G3","E4",2,5.45264651053974
"G3","E4",3,5.6960413609902
"G3","E5",1,5.16730182421587
"G3","E5",2,6.88447798266926
"G3","E5",3,6.40398099915249
"G4","E1",1,7.75075656671866
"G4","E1",2,8.03884606588037
"G4","E1",3,8.01333785855071
"G4","E2",1,8.51198604733453
"G4","E2",2,8.16665237341127
"G4","E2",3,8.3013274055979
"G4","E3",1,8.18858129786052
"G4","E3",2,8.18285181708347
"G4","E3",3,8.74744091360578
"G4","E4",1,8.10969160573629
"G4","E4",2,8.80658824177181
"G4","E4",3,7.58049887830791
"G4","E5",1,8.43384549985443
"G4","E5",2,8.24954169753785
"G4","E5",3,8.28637662749759
"G5","E1",1,7.05185579310395
"G5","E1",2,6.69907061875628
"G5","E1",3,6.76671704653223
"G5","E2",1,6.49256984675717
"G5","E2",2,6.47128350940977
"G5","E2",3,7.0214114565617
"G5","E3",1,7.07928391145177
"G5","E3",2,6.9212016906922
"G5","E3",3,7.2689069871519
"G5","E4",1,7.72003387425086
"G5","E4",2,6.70358753357739
"G5","E4",3,5.97633244974368
"G5","E5",1,7.3022954097849
"G5","E5",2,6.61631969496704
"G5","E5",3,6.62479655341306
"G6","E1",1,7.61022854787868
"G6","E1",2,7.0860907971796
"G6","E1",3,6.71171291509819
"G6","E2",1,7.27252139189966
"G6","E2",2,7.14444345502438
"G6","E2",3,7.20230567435996
"G6","E3",1,7.35411216045053
"G6","E3",2,7.05173598728304
"G6","E3",3,7.45775061940753
"G6","E4",1,7.1118053752725
"G6","E4",2,7.33271278556628
"G6","E4",3,7.63873560525974
"G6","E5",1,7.37407259633352
"G6","E5",2,7.06962736578751
"G6","E5",3,7.65952304738044
"G7","E1",1,6.79740154238485
"G7","E1",2,6.61935878380323
"G7","E1",3,6.49549269404458
"G7","E2",1,6.14883756958425
"G7","E2",2,6.944260979412
"G7","E2",3,6.15989616514115
"G7","E3",1,7.27493319720663
"G7","E3",2,7.01304425047408
"G7","E3",3,6.30571985635981
"G7","E4",1,5.98943163987729
"G7","E4",2,6.11583737452028
"G7","E4",3,6.50275348366261
"G7","E5",1,6.30132324861505
"G7","E5",2,6.26098296024091
"G7","E5",3,6.01935257309399
"G8","E1",1,7.97748613759554
"G8","E1",2,7.60754776527146
"G8","E1",3,7.16602903170593
"G8","E2",1,7.80988673985612
"G8","E2",2,8.45949830453038
"G8","E2",3,7.7123265186958
"G8","E3",1,8.30398216111252
"G8","E3",2,7.19105864585542
"G8","E3",3,7.97221901723773
"G8","E4",1,8.25970360197173
"G8","E4",2,8.15057668108336
"G8","E4",3,8.05283809707447
"G8","E5",1,7.67964699584731
"G8","E5",2,7.57514782698321
"G8","E5",3,7.48793560469754
"G9","E1",1,6.74705863884005
"G9","E1",2,6.32101015432608
"G9","E1",3,6.50377702251973
"G9","E2",1,6.5975631231207
"G9","E2",2,7.43754480209288
"G9","E2",3,6.43922003932182
"G9","E3",1,6.79415462891394
"G9","E3",2,6.73118433982548
"G9","E3",3,6.31525734634795
"G9","E4",1,6.67147676555056
"G9","E4",2,7.27782034336934
"G9","E4",3,6.88060162123169
"G9","E5",1,6.71649316879718
"G9","E5",2,6.53100126706415
"G9","E5",3,5.87870111138379
"G10","E1",1,8.13940116402425
"G10","E1",2,7.36180797872255
"G10","E1",3,8.0219842532632
"G10","E2",1,8.37273107076524
"G10","E2",2,7.36683205170846
"G10","E2",3,8.01053530061241
"G10","E3",1,7.72134075317926
"G10","E3",2,7.32835675225635
"G10","E3",3,7.34559970386547
"G10","E4",1,7.31953914792762
"G10","E4",2,7.64072804334891
"G10","E4",3,7.36147332450123
"G10","E5",1,8.00637503189275
"G10","E5",2,8.4300326821577
"G10","E5",3,7.41389085718945
